0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:32 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:41 +0530] "GET /Waterplant_V1_0/Rawmaterial.jsp HTTP/1.1" 200 9243
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:41 +0530] "GET /Waterplant_V1_0/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:41 +0530] "GET /Waterplant_V1_0/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:41 +0530] "GET /Waterplant_V1_0/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:41 +0530] "GET /Waterplant_V1_0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:41 +0530] "GET /Waterplant_V1_0/external-js/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:41 +0530] "GET /Waterplant_V1_0/css/metisMenu.min.css HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:41 +0530] "GET /Waterplant_V1_0/external-js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:41 +0530] "GET /Waterplant_V1_0/external-js/dataTables.bootstrap.min.js HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:41 +0530] "GET /Waterplant_V1_0/external-js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:41 +0530] "GET /Waterplant_V1_0/JS/RawmaterialScript.js HTTP/1.1" 200 3881
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:41 +0530] "GET /Waterplant_V1_0/external-js/metisMenu.min.js HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:41 +0530] "GET /Waterplant_V1_0/external-js/dataTables.responsive.min.js HTTP/1.1" 200 12713
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:42 +0530] "GET /Waterplant_V1_0/Menu.jsp HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:30:42 +0530] "POST /Waterplant_V1_0/Rawmaterial HTTP/1.1" 200 90
