2018-03-23 00:14:53,799 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:17:32,129 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:17:32,130 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:17:32,133 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:17:32,134 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:17:46,834 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:17:46,835 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:17:46,836 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:17:46,837 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:17:51,136 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Waterplant_V1_0
2018-03-23 00:17:52,385 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:17:52,386 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:17:52,387 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:17:52,388 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:22:17,832 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:22:17,832 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:22:17,833 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:22:17,834 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:22:26,300 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:22:26,300 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:22:26,302 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:22:26,303 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:22:32,942 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:22:32,943 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:22:32,944 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:22:32,945 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:23:13,638 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:23:13,639 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:23:13,641 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:23:13,641 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:52:01,204 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:52:01,219 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:52:01,220 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:52:01,221 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 10:28:44,937 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org.we5.waterplant:Waterplant_V1_0:0.0.1-SNAPSHOT @ E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\pom.xml.
2018-03-23 10:29:12,268 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 10:29:12,268 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 10:29:12,268 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 10:29:12,268 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-24 10:12:45,880 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org.we5.waterplant:Waterplant_V1_0:0.0.1-SNAPSHOT @ E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\pom.xml.
2018-03-24 10:13:07,610 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-24 10:13:07,610 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-24 10:13:07,610 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
